timestamp,lap time,stroke count,stroke type
2023-07-01T01:50:08Z,00:00:16.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-01T02:23:15Z,00:00:29.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-01T02:23:54Z,00:00:10.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-01T02:59:13Z,00:00:23.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-01T03:00:07Z,00:00:16.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-01T03:02:16Z,00:00:13.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-01T03:07:41Z,00:00:17.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-01T03:10:17Z,00:00:22.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-01T03:11:11Z,00:00:28.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-01T03:12:15Z,00:00:27.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-01T03:19:08Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-01T03:19:24Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-01T03:20:18Z,00:00:15.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-01T03:27:51Z,00:00:18.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-01T03:28:17Z,00:00:10.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-01T05:38:08Z,00:00:13.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-01T16:43:28Z,00:00:09.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-01T16:44:37Z,00:00:16.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-01T17:00:37Z,00:00:10.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-01T18:43:01Z,00:00:11.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-01T19:55:18Z,00:00:14.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-01T22:23:34Z,00:00:14.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-01T22:24:49Z,00:00:21.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-02T23:43:19Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-02T23:54:07Z,00:00:18.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-03T00:14:46Z,00:00:24.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-03T00:17:48Z,00:00:23.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-03T00:18:19Z,00:00:18.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-03T00:19:06Z,00:00:36.000,18,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-03T02:02:49Z,00:00:16.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-03T02:48:45Z,00:00:07.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-03T02:48:55Z,00:00:07.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-03T04:35:15Z,00:00:13.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-03T13:12:43Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-03T13:25:13Z,00:00:09.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-03T21:58:08Z,00:00:11.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-03T22:05:43Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-03T23:23:17Z,00:00:15.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-03T23:25:03Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-03T23:26:23Z,00:00:20.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-03T23:35:39Z,00:00:32.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-03T23:36:40Z,00:00:41.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-03T23:38:05Z,00:00:50.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-04T19:13:14Z,00:00:26.000,17,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-04T19:13:46Z,00:00:22.000,14,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-04T19:14:22Z,00:00:25.000,18,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-04T19:17:08Z,00:00:55.000,28,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-04T19:18:04Z,00:00:10.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-04T19:21:21Z,00:00:41.000,27,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-04T19:22:05Z,00:00:15.000,13,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-04T20:33:35Z,00:00:09.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-04T20:48:48Z,00:00:09.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-04T22:28:18Z,00:00:07.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-05T02:19:07Z,00:00:17.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-05T02:50:00Z,00:00:07.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-05T02:50:41Z,00:00:16.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-05T02:51:06Z,00:00:13.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-05T03:13:54Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-05T03:27:33Z,00:00:19.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-05T03:29:23Z,00:00:25.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-05T03:31:27Z,00:00:26.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-05T03:32:26Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-05T03:33:21Z,00:00:24.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-05T03:34:32Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-05T11:32:55Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-05T11:34:00Z,00:00:17.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-05T11:34:28Z,00:00:25.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-05T11:35:29Z,00:00:23.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-05T11:36:10Z,00:00:23.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-07T17:01:16Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-08T02:58:34Z,00:00:08.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-08T03:30:40Z,00:00:20.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-08T20:48:26Z,00:00:10.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-08T20:50:33Z,00:00:16.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-08T20:56:15Z,00:00:16.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-09T00:42:02Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-09T02:11:00Z,00:00:11.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-09T02:34:43Z,00:00:43.000,16,SWIM_STROKE_TYPE_UNSPECIFIED
2023-07-09T02:35:32Z,00:00:47.000,18,SWIM_STROKE_TYPE_UNSPECIFIED
