date_time,heart_zone_id,total_minutes
2023-05-01T10:49,FAT_BURN,1
2023-05-01T10:50,FAT_BURN,1
2023-05-01T10:51,FAT_BURN,1
2023-05-01T10:52,FAT_BURN,1
2023-05-01T10:53,FAT_BURN,1
2023-05-01T10:54,FAT_BURN,1
2023-05-01T10:55,FAT_BURN,1
2023-05-01T10:56,FAT_BURN,1
2023-05-01T10:57,FAT_BURN,1
2023-05-01T10:58,FAT_BURN,1
2023-05-01T10:59,FAT_BURN,1
2023-05-01T11:00,FAT_BURN,1
2023-05-01T11:01,FAT_BURN,1
2023-05-01T11:02,FAT_BURN,1
2023-05-01T11:03,FAT_BURN,1
2023-05-01T11:04,FAT_BURN,1
2023-05-01T11:05,FAT_BURN,1
2023-05-01T11:06,FAT_BURN,1
2023-05-01T11:07,FAT_BURN,1
2023-05-01T11:08,FAT_BURN,1
2023-05-01T11:11,FAT_BURN,1
2023-05-01T11:12,CARDIO,2
2023-05-01T11:13,CARDIO,2
2023-05-01T11:14,CARDIO,2
2023-05-01T11:15,CARDIO,2
2023-05-01T11:16,CARDIO,2
2023-05-01T11:17,FAT_BURN,1
2023-05-01T11:18,FAT_BURN,1
2023-05-01T11:19,FAT_BURN,1
2023-05-01T11:21,FAT_BURN,1
2023-05-01T11:23,FAT_BURN,1
2023-05-01T11:24,FAT_BURN,1
2023-05-01T11:25,FAT_BURN,1
2023-05-02T15:16,FAT_BURN,1
2023-05-02T15:17,FAT_BURN,1
2023-05-02T15:18,FAT_BURN,1
2023-05-02T15:19,FAT_BURN,1
2023-05-02T15:20,FAT_BURN,1
2023-05-02T15:21,FAT_BURN,1
2023-05-02T15:22,FAT_BURN,1
2023-05-02T15:23,FAT_BURN,1
2023-05-02T15:25,FAT_BURN,1
2023-05-02T15:27,FAT_BURN,1
2023-05-02T15:28,FAT_BURN,1
2023-05-02T15:31,FAT_BURN,1
2023-05-02T15:32,FAT_BURN,1
2023-05-02T15:33,FAT_BURN,1
2023-05-02T15:34,FAT_BURN,1
2023-05-02T15:35,FAT_BURN,1
2023-05-02T15:36,FAT_BURN,1
2023-05-02T15:37,FAT_BURN,1
2023-05-02T15:38,FAT_BURN,1
2023-05-02T15:39,FAT_BURN,1
2023-05-02T15:40,CARDIO,2
2023-05-02T15:41,CARDIO,2
2023-05-02T15:42,FAT_BURN,1
2023-05-02T15:44,FAT_BURN,1
2023-05-02T15:49,FAT_BURN,1
2023-05-02T15:51,FAT_BURN,1
2023-05-02T15:52,FAT_BURN,1
2023-05-02T15:53,FAT_BURN,1
2023-05-02T15:54,FAT_BURN,1
2023-05-02T15:55,FAT_BURN,1
2023-05-02T15:56,FAT_BURN,1
2023-05-02T15:57,FAT_BURN,1
2023-05-02T15:58,CARDIO,2
2023-05-02T16:00,FAT_BURN,1
2023-05-02T16:01,FAT_BURN,1
2023-05-02T16:02,FAT_BURN,1
2023-05-02T16:06,FAT_BURN,1
2023-05-02T16:07,FAT_BURN,1
2023-05-02T16:08,FAT_BURN,1
2023-05-02T16:09,FAT_BURN,1
2023-05-02T16:10,FAT_BURN,1
2023-05-02T16:11,FAT_BURN,1
2023-05-02T16:12,FAT_BURN,1
2023-05-02T16:13,FAT_BURN,1
2023-05-02T16:14,FAT_BURN,1
2023-05-02T16:15,FAT_BURN,1
2023-05-02T16:22,CARDIO,2
2023-05-02T16:23,CARDIO,2
2023-05-02T16:25,FAT_BURN,1
2023-05-02T16:26,FAT_BURN,1
2023-05-02T16:27,FAT_BURN,1
2023-05-02T16:28,FAT_BURN,1
2023-05-02T16:30,FAT_BURN,1
2023-05-02T16:40,FAT_BURN,1
2023-05-02T16:41,FAT_BURN,1
2023-05-02T16:42,FAT_BURN,1
2023-05-02T16:43,FAT_BURN,1
2023-05-02T16:45,FAT_BURN,1
2023-05-02T16:46,FAT_BURN,1
2023-05-02T16:48,FAT_BURN,1
2023-05-02T16:49,FAT_BURN,1
2023-05-02T16:51,FAT_BURN,1
2023-05-02T17:05,FAT_BURN,1
2023-05-02T17:07,FAT_BURN,1
2023-05-02T17:08,FAT_BURN,1
2023-05-02T17:10,CARDIO,2
2023-05-02T17:11,CARDIO,2
